id,nuts2,nuts2_method
CZ_194,CZ07,inside
CZ_195,CZ07,inside
CZ_196,CZ07,inside
CZ_197,CZ05,inside
CZ_198,CZ01,inside
CZ_199,CZ04,inside
CZ_2,CZ05,inside
CZ_20,CZ05,inside
CZ_200,CZ08,inside
CZ_201,CZ06,inside
CZ_201279,CZ04,inside
CZ_201588,CZ08,inside
CZ_201865,CZ08,inside
CZ_201951,CZ07,inside
CZ_201994,CZ02,inside
CZ_202,CZ06,inside
CZ_202027,CZ04,inside
CZ_202028,CZ06,inside
CZ_202156,CZ07,inside
CZ_202610,CZ04,inside
CZ_202753,CZ02,inside
CZ_202754,CZ02,inside
CZ_202755,CZ02,inside
CZ_203,CZ08,inside
CZ_203591,CZ08,inside
CZ_203599,CZ08,inside
CZ_204,CZ05,inside
CZ_204801,CZ02,inside
CZ_205,CZ06,inside
CZ_205323,CZ07,inside
CZ_205490,CZ08,inside
CZ_205510,CZ02,inside
CZ_205946,CZ04,inside
CZ_206,CZ05,inside
CZ_206782,CZ04,inside
CZ_206784,CZ08,inside
CZ_206785,CZ02,inside
CZ_207,CZ03,inside
CZ_207422,CZ06,inside
CZ_207543,CZ03,inside
CZ_208,CZ06,inside
CZ_208023,CZ04,inside
CZ_209,CZ08,inside
CZ_21,CZ08,inside
CZ_210,CZ08,inside
CZ_210084,CZ04,inside
CZ_211,CZ08,inside
CZ_212,CZ07,inside
CZ_212941,CZ08,inside
CZ_213,CZ07,inside
CZ_213780,CZ02,inside
CZ_214,CZ07,inside
CZ_215,CZ08,inside
